"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40248","Verify Bookmark : ""Flag Book"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:22:11 GMT+05:30 2025","passed","Mon Oct 13 08:22:52 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Flag Book","Dashboard.spec.js","",""
"","41110","Verify Bookmark : ""Incident Report"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:24:18 GMT+05:30 2025","passed","Mon Oct 13 08:24:59 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Incident Report","Dashboard.spec.js","",""
"","39506","Verify Bookmark : ""Bed Board"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:15:53 GMT+05:30 2025","passed","Mon Oct 13 08:16:32 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Bed Board","Dashboard.spec.js","",""
"","40295","Verify Bookmark : ""Admin"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:05:18 GMT+05:30 2025","passed","Mon Oct 13 08:05:58 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Admin","Dashboard.spec.js","",""
"","32573","Verify eRx visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 07:57:53 GMT+05:30 2025","passed","Mon Oct 13 07:58:25 GMT+05:30 2025","Verify Dashboard Functionality > Verify Dashboard Shortcut : eRx","Dashboard.spec.js","",""
"","40304","Verify Bookmark : ""InSync Analytics"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:25:02 GMT+05:30 2025","passed","Mon Oct 13 08:25:42 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : InSync Analytics","Dashboard.spec.js","",""
"","39910","Verify Bookmark : ""Random Lab Screening"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:32:10 GMT+05:30 2025","passed","Mon Oct 13 08:32:49 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Random Lab Screening","Dashboard.spec.js","",""
"","40242","Verify Bookmark : ""Lab"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:25:44 GMT+05:30 2025","passed","Mon Oct 13 08:26:24 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Lab","Dashboard.spec.js","",""
"","39910","Verify Bookmark : ""Resource Availability Search"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:32:52 GMT+05:30 2025","passed","Mon Oct 13 08:33:32 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Resource Availability Search","Dashboard.spec.js","",""
"","39954","Verify Bookmark : ""Risk Factor"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:33:35 GMT+05:30 2025","passed","Mon Oct 13 08:34:15 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Risk Factor","Dashboard.spec.js","",""
"","39703","Verify Bookmark : ""eRx"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:21:29 GMT+05:30 2025","passed","Mon Oct 13 08:22:09 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : eRx","Dashboard.spec.js","",""
